,building,day,end,original_time,room,start
0,DEN,TTh,1100,500-620P,159,1020
1,DEN,TTh,1100,500-620P,159,1020
2,SAV,M,1010,330-450,260,930
3,MGH,M,1010,330-450,074,930
4,SMI,M,1010,330-450,305,930
5,MGH,M,1010,330-450,271,930
6,SMI,M,1010,330-450,309,930
7,SMI,M,1010,330-450,115,930
8,MGH,M,1010,330-450,238,930
9,SAV,M,1010,330-450,168,930
10,SAV,M,1010,330-450,130,930
11,THO,M,1010,330-450,217,930
12,THO,M,1010,330-450,215,930
13,MGH,M,1010,330-450,282,930
14,MGH,T,1010,330-450,389,930
15,DEN,T,1010,330-450,112,930
16,CLK,T,1010,330-450,219,930
17,MGH,T,1010,330-450,097,930
18,SMI,T,1010,330-450,109,930
19,MGH,T,1010,330-450,271,930
20,SMI,T,1010,330-450,311,930
21,SMI,T,1010,330-450,115,930
22,SAV,T,1010,330-450,168,930
23,MGH,T,1010,330-450,284,930
24,MGH,MW,740,1030-1220,284,630
25,DEN,TTh,980,230-420,258,870
26,MGH,TTh,920,130-320,206,810
27,MGH,MW,920,130-320,238,810
28,THO,MW,860,1230-220,325,750
29,MGH,MW,680,930-1120,206,570
30,LOW,T,1040,230-520,117,870
31,MGH,MW,860,1230-220,251,750
32,DEN,WF,1040,330-520,213,930
33,CMU,MW,920,130-320,230,810
34,MGH,TTh,740,1030-1220,242,630
35,SMI,MW,920,130-320,304,810
36,ALB,TTh,680,930-1120,G081L,570
37,DEN,TTh,980,230-420,212,870
38,SMI,TTh,860,1230-220,313,750
39,MGH,W,980,330-420,206,930
40,MGH,M,1010,330-450,085,930
41,MGH,T,1010,330-450,278,930
42,SMI,Th,980,230-420,407,870
43,GWN,MW,860,1230-220,301,750
44,THO,F,740,1130-1220,134,690
45,CMU,F,800,1230-120,226,750
46,CMU,F,860,130-220,226,810
47,GWN,MW,860,1230-220,301,750
48,THO,F,740,1130-1220,134,690
49,CMU,TTh,860,1230-220,226,750
50,GUG,TTh,680,1000-1120,220,600
51,SMI,F,620,930-1020,107,570
52,SMI,F,680,1030-1120,107,630
53,SMI,F,740,1130-1220,311,690
54,SMI,F,800,1230-120,311,750
55,THO,TTh,1040,330-520,119,930
56,KNE,TTh,860,1230-220,110,750
57,KNE,TTh,860,1230-220,110,750
58,DEN,TTh,740,1030-1220,259,630
59,SMI,TTh,740,1030-1220,105,630
60,SMI,TTh,980,230-420,304,870
61,LOW,TTh,740,1030-1220,101,630
62,DEN,MW,740,1030-1220,259,630
63,MOR,MW,740,1030-1220,225,630
64,THO,MW,920,130-320,134,810
65,CMU,MW,920,130-320,226,810
66,MLR,TTh,680,1000-1120,301,600
67,SMI,F,620,930-1020,405,570
68,SMI,F,680,1030-1120,405,630
69,SAV,MTWThF,740,1130-1220,158,690
70,SAV,MTWThF,800,1230-120,158,750
71,SAV,MTWThF,620,930-1020,158,570
72,SAV,MTWThF,620,930-1020,162,570
73,SAV,MTWThF,740,1130-1220,130,690
74,GLD,MTWThF,800,1230-120,117,750
75,SIG,MW,860,1230-220,134,750
76,CDH,MW,680,930-1120,110B,570
77,LOW,TTh,680,930-1120,106,570
78,MLR,TTh,980,230-420,316,870
79,SIG,TTh,800,1130-120,228,690
80,SMI,TTh,680,930-1120,102,570
81,SMI,MW,800,1130-120,313,690
82,THO,TTh,1040,330-520,134,930
83,SAV,WF,920,130-320,260,810
84,SAV,WF,920,130-320,260,810
85,KNE,MW,860,1230-220,110,750
86,SMI,Th,620,930-1020,313,570
87,MEB,Th,620,930-1020,237,570
88,SIG,Th,680,1030-1120,228,630
89,BAG,Th,680,1030-1120,261,630
90,SWS,Th,800,1230-120,B014,750
91,PAR,Th,740,1130-1220,213,690
92,CLK,Th,980,330-420,219,930
93,BAG,Th,980,330-420,108,930
94,GUG,TTh,860,1230-220,220,750
95,MEB,F,620,930-1020,234,570
96,EEB,F,620,930-1020,054,570
97,DEM,F,620,930-1020,124,570
98,CMU,F,800,1230-120,243,750
99,CHL,F,800,1230-120,101,750
100,CDH,F,800,1230-120,125,750
101,CDH,F,920,230-320,128,870
102,BLD,F,920,230-320,392,870
103,BLD,F,920,230-320,286,870
104,KNE,MWF,560,830-920,110,510
105,ARC,Th,620,930-1020,160,570
106,THO,Th,680,1030-1120,334,630
107,SMI,Th,740,1130-1220,311,690
108,THO,Th,800,1230-120,125,750
109,JHN,Th,800,1230-120,075,750
110,GUG,Th,920,230-320,218,870
111,THO,Th,920,230-320,125,870
112,SAV,Th,980,330-420,137,930
113,SAV,TTh,920,130-320,168,810
114,JHN,MW,1100,430-620P,075,990
115,PAA,W,1010,330-450,A102,930
116,SMI,MW,920,130-320,205,810
117,CMU,MW,740,1030-1220,326,630
118,CDH,TTh,740,1030-1220,115,630
119,CDH,MW,980,230-420,139,870
120,MUS,MW,740,1030-1220,223,630
121,SMI,W,1040,230-520,405,870
122,ARC,TTh,620,830-1020,G070,510
123,SIG,TTh,620,830-1020,228,510
124,CMU,MW,920,130-320,230,810
125,PAA,W,1010,330-450,A102,930
126,THO,Th,860,1130-220,217,690
127,ARC,TTh,620,830-1020,G070,510
128,DEN,TTh,920,130-320,313,810
129,SIG,MW,740,1130-1220,134,690
130,SMI,MWThF,560,830-920,305,510
131,DEN,Th,680,1030-1120,410,630
132,DEN,Th,620,930-1020,410,570
133,SMI,MW,770,1130-1250,404,690
134,SMI,MTWTh,680,1030-1120,404,630
135,DEN,TTh,1040,330-520,259,930
136,DEN,MW,920,130-320,403,810
137,DEN,MW,980,330-420,403,930
138,SMI,MW,950,230-350,120,870
139,DEN,M,860,130-220,410,810
140,DEN,M,680,1030-1120,410,630
141,DEN,M,740,1130-1220,410,690
142,DEN,M,800,1230-120,410,750
143,DEN,W,860,130-220,410,810
144,DEN,W,680,1030-1120,410,630
145,DEN,W,740,1130-1220,410,690
146,DEN,W,800,1230-120,410,750
147,KNE,MWThF,560,830-920,210,510
148,DEN,T,560,830-920,410,510
149,DEN,T,680,1030-1120,410,630
150,DEN,T,740,1130-1220,410,690
151,DEN,T,620,930-1020,410,570
152,KNE,TTh,980,230-420,210,870
153,SMI,MW,950,230-350,120,870
154,DEN,F,800,1130-120,410,690
155,DEN,F,920,130-320,410,810
156,DEN,MWF,620,900-1020,410,540
157,SMI,TTh,740,1030-1220,115,630
158,SMI,MWF,860,100-220,404,780
159,DEN,MWF,620,900-1020,410,540
160,SMI,MWF,860,100-220,404,780
161,GWN,MTWF,560,830-920,301,510
162,KNE,MTWF,620,930-1020,210,570
163,GWN,MTWF,980,330-420,301,930
164,MOR,MWF,680,1030-1120,230,630
165,CMU,MWF,800,1230-120,120,750
166,MOR,TTh,950,230-350,220,870
167,LOW,MTWF,920,230-320,205,870
168,CMU,MW,1070,430-550P,B027,990
169,MEB,MWF,620,930-1020,248,570
170,SMI,Th,1040,330-520,205,930
171,LEW,Th,860,130-220,208,810
172,LEW,F,800,1230-120,208,750
173,LEW,Th,710,1100-1150,208,660
174,LEW,T,1100,400-620,208,960
175,LEW,T,620,930-1020,208,570
176,LEW,T,710,1100-1150,212,660
177,LOW,MTWF,860,130-220,216,810
178,JHN,MTWF,740,1130-1220,175,690
179,DEM,MW,620,900-1020,012,540
180,CMU,MW,1070,430-550P,B027,990
181,DEN,MWF,800,1230-120,111,750
182,DEN,MWF,740,1130-1220,212,690
183,DEN,MWF,860,130-220,212,810
184,DEN,MWF,680,1030-1120,210,630
185,LOW,MWF,560,830-920,216,510
186,LOW,MWF,560,830-920,216,510
187,LOW,MWF,920,230-320,216,870
188,LOW,MWF,920,230-320,216,870
189,LOW,MWF,980,330-420,206,930
190,LOW,TTh,710,1030-1150,202,630
191,LOW,MW,920,130-320,206,810
192,LOW,MW,740,1030-1220,216,630
193,LOW,TTh,890,100-250,206,780
194,LOW,MW,1160,530-720P,216,1050
195,ART,TTh,650,930-1050,327,570
196,ART,TTh,650,930-1050,327,570
197,ART,TTh,650,930-1050,327,570
198,ART,TTh,650,930-1050,327,570
199,ART,MW,860,1130-220,116,690
200,ART,MW,680,830-1120,110,510
201,ART,MW,860,1130-220,304,690
202,ART,TTh,860,1130-220,325,690
203,ART,MW,680,830-1120,325,510
204,ART,MW,1040,230-520,304,870
205,CMA,TTh,680,830-1120,115,510
206,ART,TTh,860,1130-220,110,690
207,ART,MW,860,1130-220,210,690
208,ART,MW,860,1130-220,207,690
209,ART,TTh,860,1130-220,124,690
210,ART,MW,1040,230-520,124,870
211,ART,MW,860,1130-220,110,690
212,ART,TTh,1040,230-520,125,870
213,ART,MW,860,1130-220,125,690
214,ART,MW,680,830-1120,304,510
215,ART,MW,680,830-1120,322,510
216,CMA,TTh,860,1130-220,116,690
217,ART,TTh,860,1130-220,116,690
218,ART,TTh,860,1130-220,201,690
219,CMA,MW,860,1130-220,105,690
220,ART,MW,1040,230-520,207,870
221,CMA,MW,1040,230-520,114,870
222,ART,TTh,1040,230-520,325,870
223,ART,TTh,860,1130-220,320,690
224,ART,MW,1040,230-520,322,870
225,ART,TTh,860,1130-220,320,690
226,ART,MW,1040,230-520,322,870
227,ART,MW,1040,230-520,204,870
228,ART,TTh,1040,230-520,116,870
229,CMA,TTh,1040,230-520,114,870
230,ART,TTh,680,830-1120,301,510
231,ART,TTh,1040,230-520,325,870
232,ART,TTh,1040,230-520,310,870
233,ART,TTh,1040,230-520,310,870
234,ART,TTh,1040,230-520,110,870
235,ART,W,1280,630-920P,003,1110
236,ART,MWF,950,230-350,003,870
237,GWN,TTh,680,1000-1120,301,600
238,ART,W,620,930-1020,317,570
239,ART,W,680,1030-1120,317,630
240,ART,W,740,1130-1220,317,690
241,ART,W,860,130-220,317,810
242,CDH,MW,860,100-220,109,780
243,ART,F,680,1030-1120,317,630
244,ART,F,740,1130-1220,317,690
245,ART,F,860,130-220,317,810
246,ART,F,920,230-320,317,870
247,ART,MWF,770,1130-1250,003,690
248,ART,MWF,680,1000-1120,003,600
249,ART,MWF,590,830-950,003,510
250,OUG,TTh,860,100-220,141,780
251,GWN,MWF,560,830-920,201,510
252,ART,MWF,860,100-220,003,780
253,ART,TTh,620,830-1020,003,510
254,ART,M,770,1000-1250,312,600
255,ART,W,1040,230-520,312,870
256,SMI,MWF,800,1230-120,102,750
257,ART,TTh,770,1130-1250,312,690
258,ART,W,1040,230-520,312,870
259,ART,M,770,1000-1250,312,600
260,ART,TTh,770,1130-1250,312,690
261,JHN,MW,1010,330-450,102,930
262,ART,TTh,980,230-420,327/329,870
263,ART,F,590,830-950,327,510
264,ART,F,680,1000-1120,327,600
265,ART,MW,980,230-420,229,870
266,ART,F,590,830-950,229,510
267,ART,F,680,1000-1120,229,600
268,ART,TTh,680,830-1120,216,510
269,ART,MW,680,830-1120,216,510
270,ART,TTh,860,1130-220,225,690
271,ART,TTh,920,1230-320,230,750
272,ART,TTh,860,1130-220,247,690
273,ART,MW,680,830-1120,230,510
274,ART,MW,920,1230-320,230,750
275,ART,MW,860,1130-220,236,690
276,ART,MW,680,830-1120,232,510
277,ART,MW,680,830-1120,247,510
278,ART,TTh,680,830-1120,230,510
279,ART,TTh,1010,330-450,236,930
280,ART,T,680,830-1120,122,510
281,ART,Th,680,830-1120,122,510
282,ART,MW,710,930-1150,122,570
283,SAV,MWF,860,100-220,137,780
284,THO,MW,920,130-320,235,810
285,SAV,MW,1040,330-520,136,930
286,PAR,MTWThF,680,1030-1120,310,630
287,PAR,TTh,980,230-420,112,870
288,SAV,MTWThF,800,1230-120,167,750
289,JHN,TTh,620,930-1020,175,570
290,CDH,MWF,560,830-920,128,510
291,CDH,MWF,620,930-1020,128,570
292,CDH,MWF,680,1030-1120,128,630
293,SMI,MWF,680,1030-1120,313,630
294,SMI,MWF,740,1130-1220,407,690
295,CDH,MWF,740,1130-1220,128,690
296,JHN,TTh,680,1030-1120,175,630
297,CDH,MWF,560,830-920,128,510
298,CDH,MWF,620,930-1020,128,570
299,CDH,MWF,680,1030-1120,128,630
300,SMI,MWF,680,1030-1120,313,630
301,SMI,MWF,740,1130-1220,407,690
302,CDH,MWF,740,1130-1220,128,690
303,CDH,MTWThF,620,930-1020,110A,570
304,CDH,MTWThF,680,1030-1120,110A,630
305,CDH,MTWThF,740,1130-1220,110A,690
306,THO,MTWThF,680,1030-1120,211,630
307,THO,MTWThF,560,830-920,134,510
308,THO,MTWThF,620,930-1020,134,570
309,SIG,MTWThF,920,230-320,230,870
310,THO,MWF,860,100-220,334,780
311,DEN,MWF,680,1000-1120,156,600
312,SIG,MTWThF,920,230-320,230,870
313,SAV,MWF,770,1130-1250,137,690
314,THO,MW,1040,330-520,334,930
315,SAV,MWF,590,830-950,157,510
316,MGH,MW,920,130-320,085,810
317,SAV,TTh,920,130-320,140,810
318,SAV,MTWThF,620,930-1020,168,570
319,SAV,MTWThF,680,1030-1120,169,630
320,MGH,MWF,590,830-950,278,510
321,MGH,MWF,590,830-950,278,510
322,SAV,F,1100,130-620,169,810
323,DEN,MTWThF,620,930-1020,110,570
324,MGH,MTWThF,740,1130-1220,286,690
325,DEN,MTWThF,680,1030-1120,110,630
326,DEN,MWF,860,100-220,210,780
327,PAR,TTh,860,100-220,112,780
328,EXED,TTh,620,930-1020,110,570
329,MEB,MWF,620,930-1020,235,570
330,MEB,MWF,620,930-1020,245,570
331,MEB,MWF,680,1030-1120,235,630
332,MEB,MWF,680,1030-1120,245,630
333,PCAR,MWF,680,1030-1120,297,630
334,MUE,MWF,680,1030-1120,154,630
335,PCAR,MWF,740,1130-1220,297,690
336,MUE,MWF,740,1130-1220,154,690
337,MEB,MWF,740,1130-1220,235,690
338,MEB,MWF,740,1130-1220,250,690
339,MEB,MWF,800,1230-120,235,750
340,MEB,MWF,800,1230-120,250,750
341,EXED,TTh,680,1030-1120,110,630
342,MEB,MWF,620,930-1020,235,570
343,MEB,MWF,620,930-1020,245,570
344,MEB,MWF,680,1030-1120,235,630
345,MEB,MWF,680,1030-1120,245,630
346,PCAR,MWF,680,1030-1120,297,630
347,MUE,MWF,680,1030-1120,154,630
348,PCAR,MWF,740,1130-1220,297,690
349,MUE,MWF,740,1130-1220,154,690
350,MEB,MWF,740,1130-1220,235,690
351,MEB,MWF,740,1130-1220,250,690
352,MEB,MWF,800,1230-120,235,750
353,MEB,MWF,800,1230-120,250,750
354,THO,TTh,800,1230-120,101,750
355,MEB,MWF,620,930-1020,235,570
356,MEB,MWF,620,930-1020,245,570
357,MEB,MWF,680,1030-1120,235,630
358,MEB,MWF,680,1030-1120,245,630
359,PCAR,MWF,680,1030-1120,297,630
360,MUE,MWF,680,1030-1120,154,630
361,PCAR,MWF,740,1130-1220,297,690
362,MUE,MWF,740,1130-1220,154,690
363,MEB,MWF,740,1130-1220,235,690
364,MEB,MWF,740,1130-1220,250,690
365,MEB,MWF,800,1230-120,235,750
366,MEB,MWF,800,1230-120,250,750
367,MEB,TTh,620,930-1020,246,570
368,MEB,MWF,620,930-1020,250,570
369,MEB,MWF,680,1030-1120,250,630
370,MGH,MWF,680,1030-1120,238,630
371,MGH,MWF,740,1130-1220,238,690
372,RAI,MWF,740,1130-1220,116,690
373,RAI,MWF,800,1230-120,116,750
374,MEB,MWF,800,1230-120,243,750
375,THO,MWF,620,930-1020,235,570
376,MEB,TTh,680,1030-1120,246,630
377,MEB,MWF,620,930-1020,250,570
378,MEB,MWF,680,1030-1120,250,630
379,MGH,MWF,680,1030-1120,238,630
380,MGH,MWF,740,1130-1220,238,690
381,RAI,MWF,740,1130-1220,116,690
382,RAI,MWF,800,1230-120,116,750
383,MEB,MWF,800,1230-120,243,750
384,THO,MWF,620,930-1020,235,570
385,SIG,TTh,800,1230-120,225,750
386,MEB,MWF,620,930-1020,250,570
387,MEB,MWF,680,1030-1120,250,630
388,MGH,MWF,680,1030-1120,238,630
389,MGH,MWF,740,1130-1220,238,690
390,RAI,MWF,740,1130-1220,116,690
391,RAI,MWF,800,1230-120,116,750
392,MEB,MWF,800,1230-120,243,750
393,THO,MWF,620,930-1020,235,570
394,AND,TTh,620,930-1020,010,570
395,RAI,MWF,560,830-920,116,510
396,RAI,MWF,620,930-1020,116,570
397,RAI,MWF,680,1030-1120,116,630
398,SIG,MWF,740,1130-1220,226,690
399,SIG,MWF,800,1230-120,226,750
400,AND,TTh,680,1030-1120,010,630
401,RAI,MWF,560,830-920,116,510
402,RAI,MWF,620,930-1020,116,570
403,RAI,MWF,680,1030-1120,116,630
404,SIG,MWF,740,1130-1220,226,690
405,SIG,MWF,800,1230-120,226,750
406,PCAR,TTh,800,1230-120,293,750
407,RAI,MWF,560,830-920,116,510
408,RAI,MWF,620,930-1020,116,570
409,RAI,MWF,680,1030-1120,116,630
410,SIG,MWF,740,1130-1220,226,690
411,SIG,MWF,800,1230-120,226,750
412,LOW,W,980,230-420,117,870
413,THO,MWF,860,100-220,211,780
414,THO,TTh,920,130-320,234,810
415,SAV,MW,920,130-320,166,810
416,BAG,MTWThF,740,1130-1220,108,690
417,BAG,MTWThF,800,1230-120,108,750
418,THO,MWF,770,1130-1250,234,690
419,CHL,TTh,1040,330-520,101,930
420,SMI,W,1100,230-620,111,870
421,SAV,TTh,620,930-1020,264,570
422,THO,MWF,620,930-1020,334,570
423,THO,MWF,680,1030-1120,334,630
424,THO,MWF,740,1130-1220,334,690
425,THO,MWF,740,1130-1220,235,690
426,THO,MWF,800,1230-120,235,750
427,DEN,MWF,740,1130-1220,258,690
428,DEN,MWF,800,1230-120,258,750
429,SAV,TTh,680,1030-1120,264,630
430,THO,MWF,620,930-1020,334,570
431,THO,MWF,680,1030-1120,334,630
432,THO,MWF,740,1130-1220,334,690
433,THO,MWF,740,1130-1220,235,690
434,THO,MWF,800,1230-120,235,750
435,DEN,MWF,740,1130-1220,258,690
436,DEN,MWF,800,1230-120,258,750
437,EEB,TTh,680,1030-1120,125,630
438,MGH,MWF,800,1230-120,288,750
439,MGH,MWF,620,930-1020,271,570
440,MGH,MWF,680,1030-1120,271,630
441,SAV,MWF,680,1000-1120,157,600
442,CMU,MW,920,130-320,228,810
443,PAR,MW,740,1030-1220,106,630
444,MGH,MTWThF,620,930-1020,085,570
445,MGH,MTWThF,680,1030-1120,085,630
446,SAV,MW,920,130-320,141,810
447,MGH,MTWThF,620,930-1020,085,570
448,MGH,MTWThF,680,1030-1120,085,630
449,SAV,MW,920,130-320,141,810
450,SAV,MW,920,130-320,141,810
451,LOW,MTWThF,620,930-1020,113,570
452,CDH,MTWThF,680,1030-1120,141,630
453,MGH,MWF,710,1030-1150,291,630
454,MGH,MWF,710,1030-1150,291,630
455,SAV,MTWThF,620,930-1020,132,570
456,SAV,MTWThF,680,1030-1120,132,630
457,ART,MWF,860,100-220,006,780
458,ARC,MWF,680,1030-1120,147,630
459,PAA,T,620,930-1020,A216,570
460,PAA,T,680,1030-1120,A216,630
461,PAA,T,740,1130-1220,A216,690
462,PAA,T,800,1230-120,A216,750
463,PAA,Th,620,930-1020,A216,570
464,PAA,Th,680,1030-1120,A216,630
465,PAA,Th,740,1130-1220,A216,690
466,PAA,Th,800,1230-120,A216,750
467,PAA,TTh,620,900-1020,A110,540
468,PAA,MW,620,930-1020,A212,570
469,PAA,MW,680,1030-1120,A212,630
470,SMI,TTh,770,1130-1250,120,690
471,PAA,M,620,930-1020,A216,570
472,PAA,M,680,1030-1120,A216,630
473,PAA,M,740,1130-1220,A216,690
474,PAA,M,800,1230-120,A216,750
475,PAA,W,620,930-1020,A216,570
476,PAA,W,680,1030-1120,A216,630
477,PAA,W,740,1130-1220,A216,690
478,PAA,W,800,1230-120,A216,750
479,PAB,MWF,740,1100-1220,B360,660
480,PAB,MW,890,130-250,B360,810
481,GUG,TTh,800,1200-120,204,720
482,PAA,TTh,890,130-250,A110,810
483,PAA,F,740,1130-1220,A216,690
484,PAA,MW,920,200-320,A216,840
485,PAB,F,740,1100-1220,B164,660
486,PAB,TTh,890,130-250,B305,810
487,PAA,MW,890,130-250,A210,810
488,CMU,F,920,230-320,243,870
489,PAA,Th,1010,330-450,A102,930
490,MUS,W,1040,330-520,212,930
491,PAA,F,740,1100-1220,A210,660
492,PAA,T,980,230-420,A118,870
493,HCK,MW,980,300-420,320,900
494,KNE,MTWThF,620,930-1020,120,570
495,KNE,MTWThF,620,930-1020,120,570
496,JHN,T,860,1230-220,130,750
497,JHN,T,980,230-420,130,870
498,JHN,T,1100,430-620P,130,990
499,JHN,W,860,1230-220,130,750
500,JHN,W,980,230-420,130,870
501,JHN,W,1100,430-620P,130,990
502,KNE,MTWThF,860,130-220,130,810
503,HCK,T,620,830-1020,243,510
504,HCK,T,620,830-1020,247,510
505,HCK,T,770,1100-1250,243,660
506,HCK,T,770,1100-1250,247,660
507,HCK,T,1070,400-550,243,960
508,HCK,T,1070,400-550,247,960
509,HCK,T,1220,630-820P,243,1110
510,HCK,T,1220,630-820P,247,1110
511,HCK,W,620,830-1020,243,510
512,HCK,W,620,830-1020,247,510
513,HCK,W,770,1100-1250,243,660
514,HCK,W,770,1100-1250,247,660
515,HCK,W,1070,400-550,243,960
516,HCK,W,1070,400-550,247,960
517,HCK,W,1220,630-820P,243,1110
518,HCK,W,1220,630-820P,247,1110
519,HCK,Th,620,830-1020,243,510
520,HCK,Th,620,830-1020,247,510
521,HCK,Th,770,1100-1250,243,660
522,HCK,Th,770,1100-1250,247,660
523,HCK,Th,1070,400-550,243,960
524,HCK,Th,1070,400-550,247,960
525,HCK,Th,1220,630-820P,243,1110
526,HCK,Th,1220,630-820P,247,1110
527,HCK,Th,1220,630-820P,244,1110
528,HCK,Th,1220,630-820P,246,1110
529,KNE,MTWThF,920,230-320,130,870
530,HCK,T,620,830-1020,246,510
531,HCK,T,620,830-1020,244,510
532,HCK,T,770,1100-1250,246,660
533,HCK,T,770,1100-1250,244,660
534,HCK,T,1070,400-550,246,960
535,HCK,T,1070,400-550,244,960
536,HCK,T,1220,630-820P,246,1110
537,HCK,T,1220,630-820P,244,1110
538,HCK,W,620,830-1020,246,510
539,HCK,W,620,830-1020,244,510
540,HCK,W,770,1100-1250,246,660
541,HCK,W,770,1100-1250,244,660
542,HCK,W,1070,400-550,246,960
543,HCK,W,1070,400-550,244,960
544,HCK,W,1220,630-820P,246,1110
545,HCK,W,1220,630-820P,244,1110
546,HCK,Th,620,830-1020,246,510
547,HCK,Th,620,830-1020,244,510
548,HCK,Th,770,1100-1250,246,660
549,HCK,Th,770,1100-1250,244,660
550,HCK,Th,1070,400-550,246,960
551,HCK,Th,1070,400-550,244,960
552,KNE,MTWThF,920,230-320,120,870
553,HCK,T,680,900-1120,143,540
554,HCK,T,680,900-1120,147,540
555,HCK,T,860,1200-220,143,720
556,HCK,T,860,1200-220,147,720
557,HCK,T,1100,400-620,143,960
558,HCK,T,1100,400-620,147,960
559,HCK,W,680,900-1120,143,540
560,HCK,W,680,900-1120,147,540
561,HCK,W,860,1200-220,143,720
562,HCK,W,860,1200-220,147,720
563,HCK,Th,680,900-1120,143,540
564,HCK,Th,680,900-1120,147,540
565,HCK,Th,860,1200-220,143,720
566,HCK,Th,860,1200-220,147,720
567,GUG,MTWThF,740,1130-1220,220,690
568,HCK,T,680,900-1120,144,540
569,HCK,T,680,900-1120,146,540
570,HCK,T,890,1230-250,144,750
571,HCK,T,890,1230-250,146,750
572,HCK,T,1040,300-520,144,900
573,HCK,W,680,900-1120,144,540
574,HCK,W,680,900-1120,146,540
575,HCK,W,890,1230-250,144,750
576,HCK,W,890,1230-250,146,750
577,HCK,W,1040,300-520,144,900
578,HCK,Th,890,1230-250,144,750
579,HCK,Th,890,1230-250,146,750
580,JHN,MWF,620,930-1020,102,570
581,JHN,MWF,620,930-1020,102,570
582,FSH,T,680,830-1120,142,510
583,FSH,T,980,130-420,142,810
584,FSH,W,980,130-420,142,810
585,FSH,Th,680,830-1120,142,510
586,FSH,Th,980,130-420,142,810
587,FSH,F,980,130-420,142,810
588,EEB,TTh,860,100-220,105,780
589,FSH,M,680,1030-1120,108,630
590,HCK,TTh,740,930-1220,343,570
591,HCK,TTh,980,130-420,343,810
592,HCK,MWF,800,1230-120,443,750
593,LSB,TTh,770,1200-1250,110,720
594,LSB,M,980,330-420,111,930
595,LSB,M,1040,430-520P,111,990
596,HCK,MWF,680,1030-1120,132,630
597,HCK,T,860,130-220,320,810
598,LSB,T,860,130-220,111,810
599,HCK,T,920,230-320,320,870
600,LSB,T,920,230-320,111,870
601,HCK,T,980,330-420,320,930
602,LSB,T,980,330-420,111,930
603,HCK,Th,860,130-220,320,810
604,HCK,Th,920,230-320,320,870
605,HCK,Th,980,330-420,320,930
606,HCK,Th,1040,430-520P,320,990
607,HCK,TTh,800,1230-120,132,750
608,LSB,W,560,830-920,110,510
609,LSB,W,560,830-920,113,510
610,LSB,W,620,930-1020,110,570
611,LSB,W,620,930-1020,113,570
612,LSB,W,680,1030-1120,110,630
613,LSB,W,680,1030-1120,113,630
614,LSB,WF,770,1130-1250,110,690
615,LSB,M,740,1130-1220,110,690
616,HCK,M,800,1230-120,320,750
617,HCK,M,860,130-220,320,810
618,LSB,WF,860,100-220,110,780
619,LSB,M,740,1130-1220,110,690
620,HCK,M,800,1230-120,320,750
621,HCK,M,860,130-220,320,810
622,HCK,T,1010,330-450,132,930
623,HCK,W,620,830-1020,444,510
624,HCK,W,740,1030-1220,444,630
625,HCK,W,860,1230-220,444,750
626,HCK,W,980,230-420,444,870
627,LSB,M,890,100-250,110,780
628,HCK,T,980,1230-420,347,750
629,HCK,W,980,1230-420,347,750
630,HCK,Th,980,1230-420,347,750
631,HCK,MW,1010,330-450,132,930
632,HCK,TTh,680,1000-1120,132,600
633,LSB,W,770,1130-1250,119,690
634,LSB,W,680,1000-1120,119,600
635,PAR,TTh,770,1130-1250,106,690
636,HCK,MWF,620,930-1020,320,570
637,LSB,T,740,930-1220,105,570
638,LSB,Th,740,930-1220,105,570
639,LSB,T,980,130-420,105,810
640,LSB,Th,980,130-420,105,810
641,LSB,T,920,230-320,110,870
642,LSB,T,1040,430-520P,110,990
643,JHN,TTh,650,930-1050,122,570
644,HCK,TTh,650,930-1050,346,570
645,LSB,TTh,620,900-1020,110,540
646,HCK,Th,830,1100-150,446,660
647,HCK,Th,1040,230-520,446,870
648,CHL,MWF,980,330-420,015,930
649,HCK,TTh,680,830-1120,447,510
650,HCK,TTh,860,1130-220,447,690
651,HCK,MWF,740,1100-1220,320,660
652,HCK,W,800,1230-120,320,750
653,HCK,W,860,130-220,320,810
654,LSB,W,920,230-320,110,870
655,HCK,TTh,590,830-950,320,510
656,HCK,TTh,680,1000-1120,320,600
657,LSB,TTh,710,1030-1150,110,630
658,HCK,MWF,860,130-220,132,810
659,HCK,MWF,860,130-220,132,810
660,FTR,M,1040,230-520,124,870
661,FTR,W,1040,230-520,124,870
662,LSB,Th,800,1230-120,111,750
663,LSB,W,1010,330-450,110,930
664,LSB,W,830,1230-150,113,750
665,FTR,MTWThF,1010,800-450,032,480
666,PAA,T,590,830-950,A023D,510
667,LSB,F,980,330-420,110,930
668,LSB,Th,620,900-1020,111,540
669,KIN,W,560,800-920,502,480
670,HCK,MWF,800,1200-120,132,720
671,HCK,Th,1190,600-750P,320,1080
672,LSB,Th,800,1230-120,111,750
673,LSB,Th,950,300-350,113,900
674,LSB,F,620,930-1020,110,570
675,RAI,F,860,1230-220,121,750
676,SAV,F,680,1030-1120,139,630
677,PAR,T,1010,330-450,310,930
678,BAG,MWF,560,830-920,131,510
679,THO,T,560,830-920,331,510
680,SWS,T,620,930-1020,B012,570
681,ART,T,680,1030-1120,003,630
682,MEB,T,740,1130-1220,246,690
683,SAV,T,800,1230-120,162,750
684,GUG,T,860,130-220,204,810
685,EEB,T,920,230-320,003,870
686,MGH,T,980,330-420,234,930
687,BAG,T,1040,430-520P,106,990
688,PAR,T,560,830-920,313,510
689,SWS,T,980,330-420,230,930
