,building,day,end,original_time,room,start
1821,SMI,F,1010,330-450,107,930
1822,THO,MTWThF,560,830-920,211,510
1823,DEN,MTWThF,620,930-1020,159,570
1824,SAV,MTWThF,680,1030-1120,158,630
1825,AND,MTWThF,740,1130-1220,010,690
1826,SAV,MTWThF,860,130-220,162,810
1827,SAV,MTWThF,920,230-320,162,870
1828,SAV,MTWThF,1160,630-720P,157,1110
1829,BAG,MTWThF,620,930-1020,106,570
1830,BAG,MTWThF,680,1030-1120,108,630
1831,SAV,MTWThF,740,1130-1220,168,690
1832,SAV,MTWThF,620,930-1020,136,570
1833,SAV,MTWThF,800,1230-120,130,750
1834,MGH,MTWThF,560,830-920,234,510
1835,DEN,MTWThF,560,830-920,258,510
1836,SAV,MTWThF,800,1230-120,136,750
1837,DEN,MTWThF,680,1030-1120,159,630
1838,SAV,MTWThF,920,230-320,158,870
1839,THO,MTWThF,620,930-1020,211,570
1840,SAV,MTWThF,860,130-220,158,810
1841,THO,TTh,920,130-320,119,810
1842,SAV,MW,620,830-1020,156,510
1843,SAV,TTh,740,1030-1220,162,630
1844,DEN,MW,740,1030-1220,213,630
1845,THO,MW,1040,330-520,325,930
1846,THO,TTh,1040,330-520,125,930
1847,SAV,MW,920,130-320,164,810
1848,PDL,T,920,130-320,C242,810
1849,SAV,Th,980,230-420,136,870
1850,SAV,MTWThF,680,1030-1120,168,630
1851,ART,MWF,740,1130-1220,004,690
1852,SAV,MTWThF,800,1230-120,156,750
1853,DEN,MTWThF,860,130-220,112,810
1854,ART,MTWThF,800,1230-120,317,750
1855,MGH,MW,920,130-320,231,810
1856,DEM,MW,1040,330-520,126,930
1857,SAV,TTh,1040,330-520,167,930
1858,KNE,MW,740,1030-1220,110,630
1859,CLK,F,620,930-1020,316,570
1860,RAI,F,800,1230-120,107,750
1861,CHL,F,620,930-1020,105,570
1862,THO,F,680,1030-1120,331,630
1863,THO,F,680,1030-1120,231,630
1864,PAA,F,800,1230-120,A212,750
1865,EEB,F,740,1130-1220,042,690
1866,EEB,F,740,1130-1220,031,690
1867,MUE,MTWThF,800,1230-120,153,750
1868,MUE,MTWThF,800,1230-120,153,750
1869,GLD,MW,740,1030-1220,435,630
1870,EEB,TTh,1040,330-520,003,930
1871,EEB,MF,1040,330-520,031,930
1872,JHN,TTh,620,830-1020,111,510
1873,SMI,MW,920,130-320,205,810
1874,KNE,TTh,620,830-1020,110,510
1875,BAG,Th,860,130-220,108,810
1876,BAG,Th,920,230-320,108,870
1877,DEN,F,560,830-920,112,510
1878,DEN,F,620,930-1020,112,570
1879,DEN,F,680,1030-1120,259,630
1880,DEN,F,740,1130-1220,259,690
1881,MGH,TTh,920,130-320,241,810
1882,EEB,MW,740,1030-1220,025,630
1883,CMU,TTh,740,1030-1220,B006,630
1884,DEN,MW,740,1030-1220,259,630
1885,THO,TTh,1040,330-520,134,930
1886,MGH,T,980,230-420,058,870
1887,CDH,MW,740,1030-1220,105,630
1888,GLD,TTh,980,230-420,436,870
1889,PDL,Th,740,1130-1220,B110G,690
1890,MGH,MW,740,1030-1220,278,630
1891,DEN,T,1160,330-720,111,930
1892,SMI,W,1040,230-520,409,870
1893,DEN,M,1100,230-620,256,870
1894,GLD,TTh,740,1030-1220,117,630
1895,THO,TTh,920,130-320,334,810
1896,MGH,W,860,1230-220,248,750
1897,MGH,W,1100,430-620P,085,990
1898,MGH,Th,740,1030-1220,288,630
1899,CSH,TTh,740,1130-1220,103,690
1900,CSH,MWF,740,1130-1220,103,690
1901,DEN,W,620,930-1020,256,570
1902,HSG,T,800,1230-120,G417,750
